ID|word|meaning
1 | revolt | n. 反抗；造反，起义 v. 起义；反抗
2 | specialist | n. 专家
3 | carpet | n. 地毯
4 | meditation | n. 默想，冥想；沉思，深思，思考
5 | persist | v. 坚持；执意；继续存在[发生]；持续
6 | avoid | v. 防止，避免；逃避，避开
7 | yellow | adj. 黄的，黄色的 n. 黄色
8 | consult | v. 请教，向...咨询；找...商量；查阅，查看
9 | assume | v. 假定，设想；开始掌管/承担责任等；假装[装出]…的态度/样子/表情等
10 | doctorate | n. 博士学位;博士头衔
11 | resultant | adj. 作为结果而发生的
12 | fuse | n. 保险丝；导火线,引信 v. 结合; 融合; 熔合
13 | very | adv. 很，非常；完全 adj. 同一的，正是的，恰好的
14 | critic | n. 批评家,评论家
15 | ingenious | adj. 〔计划、主意或物体〕精巧的，巧妙的
16 | continent | n. 大陆,洲
17 | residence | n. 住处,住宅
18 | puppet | n. 木偶；傀儡
19 | consultant | n. 顾问；会诊医师,顾问医生
20 | preparation | n. 准备,预备；制剂,制备品
21 | presume | v. 推测；擅自行动；假定
22 | transistor | n. 晶体管
23 | precedent | n. 先例
24 | capacity | n. 容量,容积；容纳人数；能力
25 | party | n. 聚会；政党 v. 尽情欢乐
26 | equation | n. (数学)等式,方程式；制衡局面
27 | commence | v. 开始
28 | neglect | v. 忽视，忽略 n. 疏忽
29 | contemporary | adj. 现代的,当代的；发生[存在]于同一时代的
30 | continuous | adj. 连续的,持续的
31 | solution | n. 解决办法；解答；溶解,溶液
32 | decision | n. 决定，抉择；决定；判决，裁决
33 | care | n. 照顾，照料 v. 关心，在意
34 | politician | n. 政治家,政客
35 | critical | adj. 批评的,评论的；紧要的，关键性的
36 | obtain | v. 获得,得到
37 | resistant | adj. (to)抵抗的,有抵抗力的
38 | pose | n. 姿势，姿态 v. 造成，引起，产生
39 | vivid | adj. 生动的,栩栩如生的；〔色彩、图案〕鲜艳的，鲜明的
40 | millimeter | n. (millimetre)毫米
41 | shiver | v. 战栗,发抖 n. 战栗,发抖
42 | escalate | v. 使…加剧; 加剧
43 | graduate | n. 大学毕业生 v. 大学毕业 adj. （攻读）研究生的
44 | spirit | n. 精神；情绪,心情
45 | contradiction | n. 矛盾，不一致；反驳，否认
46 | value | n. 价值；重要性，用处，益处 v. 尊重，重视；给…估价，给…估值
47 | bathe | v. 洗澡；给…洗；游泳；浸洗; 浸泡
48 | success | n. 成就，成功；成功的事物，有成就的人
49 | genuine | adj. 真正的
50 | port | n. 港口
51 | currency | n. 通货，货币；流传，通行
52 | prosperity | n. 繁荣,兴旺
53 | expand | v. (使)膨胀,(使)扩张；使…发展; 发展
54 | woman | n. (pl)women妇女，成年女子
55 | manage | v. 经营,管理,；设法做成，努力完成；管理 (时间、金钱等)
56 | exceptional | adj. 例外的；异常的
57 | satisfaction | n. 满足,满意
58 | mood | n. 心情,情绪
59 | enterprise | n. 事业,企(事)业单位；事业心,进取心
60 | consequently | adv. 结果，因此，所以
61 | invade | v. 入侵,侵略,侵袭；侵扰
62 | correct | adj. 正确的；恰当的,端正的 v. 矫正；改正,纠正
