ID|word|meaning
0|call|v./n.把…叫做,打电话,召集n.拜访
1|specification|n.详述,规格
2|ingenuity|n.机灵,独创性
3|unpleasant|a.不愉快的,不合意的
4|overtake|vt.追上,超过,突然降临于,意外地碰上
5|binge|n.狂闹,狂欢
6|deviation|n.背离,偏离,误差
7|graceful|a.优美的
8|sailor|n.海员,水手
9|dumb|a.哑的,沉默的
10|ether|n.天空醚,大气
11|substantially|ad.大体上,本质上
12|railway|n.铁路
13|gravitational|a.重力的,引力作用的
14|encase|vt.装入,包住,围绕
15|beater|n.搅拌器,敲打者
16|explorer|n.探险者
17|rapport|n.和谐,亲善
18|gunfire|n.炮火
19|bedpan|n.便盆,睡床用脚炉
20|swell|v.(使)膨胀,增大
21|profoundly|ad.深深地,衷心地
22|excrete|vt.排泄,分泌
23|uniquely|adv独特地,唯一地
24|homo|n.人,同性恋者
25|albedo|n.[天文](星体)反照率
26|cool|v.冷却,(使)冷静adj.冷静的,凉爽的
27|magnitude|n.大小,数量,量级
28|rearrange|vt.再排列,重新整理
29|president|n.总统,会长,(大学)校长,董事长
30|part-time|a.兼职的,部分时间的
31|amplify|v.放大,详述,增强
32|silk|n.丝绸,蚕丝
33|infrequently|ad.罕见地,稀少的
34|vestigial|a.退化的,发育不全的
35|trap|v.设圈套,陷入(困境).n.圈套
36|dredge|n.挖泥机.v.挖掘,努力回忆
37|cook|n.厨师.v.烹调,煮
38|zone|n.地域,地带.v.分成区
39|convincingly|ad.令人信服地,有说服力地
40|mortar|n.灰泥,迫击炮.vt.用灰泥结合
41|contribution|n.贡献,投稿
42|exportation|n.出口,输出
43|determinant|a.决定性的.n.决定因素
44|cabinetmaker|n.家具师,细工木匠
45|finely|ad.细微地,美好地
46|asteroid|n.小行星
47|well-organized|a.组织有序的
48|motor|n.发动机
49|kittiwake|n.三趾鸥
50|transitional|a.变迁的,过渡期的
51|depth|n.深度,深刻
52|acoustic|a.有关声音的,声学的
53|humorously|ad.幽默地,滑稽地
54|imitator|n.模仿者,模拟器
55|zealous|a.热心的,热衷的
56|extravagantly|ad.挥霍无度地
57|fair|a./ad.公平的,尚可的
58|fahrenheit|n.华氏温度计
59|spearhead|v.充当先锋
60|midday|n.正午
61|generous|a.慷慨的,丰富的
62|curiously|ad.好奇地
63|nestle|v.依偎,（舒适地）安顿
64|hexagonal|a.六角形的,六边的
65|trace|vt.追踪,探索.n.痕迹
66|stationary|a.固定的,静止不动的
67|clavichord|n.翼琴(钢琴的前身)
68|unwelcome|a.不受欢迎的,讨厌的
69|idealization|n.理想化,理想化的事物
70|sanction|n.支持,制裁.vt.支持,鼓励
71|logic|n.逻辑,逻辑学.a.逻辑的
72|participation|n.参加,参与
73|congenital|a.先天的,天生的,天赋的
74|define|vt.定义,详细说明,规定
75|merge|v.结合,合并
76|spy|n.间谍,侦探.v.侦察
77|silent|a.寂静的,沉默的
78|pivotal|a.重要的,轴的
79|perishable|a.容易腐烂的
80|arduous|a.费力的,辛勤的,努力的,险峻的
81|onslaught|n.冲击
82|structurally|ad.在结构上
83|chug|n.轧轧响声.v.发出轧轧声.
84|chronology|n.年代学,年表
85|tapir|n.[动]貘
86|concave|a.凹的.n.凹(面)
87|communication|n.交流,通讯
88|perhaps|ad.也许,可能
89|seem|vi.好像,似乎
90|vestige|n.痕迹,遗迹,残余
91|lag|vi.落后.n.滞后,(时间上的)间隔
92|justice|n.正义,公平
93|deplorable|a.可叹的,凄惨的
94|smoothly|ad.平稳地,顺利地
95|change|v.改变.n.变化,零钱,兑换
96|draw|v.画,拖,移动,吸引
97|pass|v.通过,经过,传递
98|unearth|v.掘出,揭露
99|unbridgeable|a.不能架桥的,不能逾越的,无法沟通的
100|lazily|ad.懒洋洋地
101|since|conj./prep.从…以后,因为
102|underground|a.地下的,地面下的
103|authentic|a.可信的,真正的
104|shake|n./.v.摇动,颤抖,握手
105|workplace|n.工作场所
106|harvest|n.收获.v.收获,收割
107|walnut|n.胡桃,胡桃木
108|spectator|n.观众(指比赛或表演),旁观者
109|create|vt.创造,创作
110|debt|n.债务
111|scant|a.缺乏的,不足的.v.节省,减少
112|farmland|n.农田
113|ted|vt.翻晒.n.泰德
114|curvature|n.弯曲,曲率
115|trench|n.沟渠,堑壕.v.掘沟,挖战壕
116|hormonal|a.荷尔蒙的,激素的
117|venture|n.风险投资.v.冒险,大胆表示,拿…冒险
118|swamp|n.沼泽,湿地
119|slam|v.砰地关上(放下)
120|prejudice|n.偏见,损害.vt.损害,有偏见
121|varicolored|a.杂色的,多色的
122|future|n.未来,将来,前途
123|slide|v./n.滑动,下滑
124|obviously|ad.明显地
125|speaker|n.说话者,演讲人,扬声器
126|April|n.四月
127|leap|v./n.跳跃
128|total|a.全部的,完全的.n.总数
129|tricycle|n.三轮车
130|instructive|a.有益的,教育性的
131|openly|ad.不隐瞒地,公然地,直率地
132|apace|ad.快速地,急速地
133|minimize|v.将...减到最少,最小化
134|lowland|n.低地
135|fleshy|a.肉的,多肉的
136|cheese|n.干酪
137|fact|n.事实,实际,真相
138|consensus|n.一致,同意
139|groom|vt.刷洗.n.新郎,马夫
140|dealing|n.行为,交易,待人态度,商业往来
141|before|prep./conj.在…以前
142|stable|a.稳定的,坚定的,牢固的
143|event|n.大事,事件
144|discard|v.丢弃,抛弃
145|spiky|a.大钉似的,尖刻的
146|impressionist|n.印象主义者
147|wide|a.宽阔的,广泛的
148|newberry|n.纽伯里
149|pastoral|a.田园生活的,宁静的
150|left-hand|a.左手的,左边的
151|prepay|vt.预付
152|hang|vt.悬挂,吊死.vi.悬挂,垂下
153|hurry|v.赶紧,匆忙
154|gazette|n.报纸,政府的公报
155|European|a.欧洲的.n.欧洲人n.
156|unchanging|a.不变的
157|daytime|n.白天,日间
158|concept|n.观念,概念
159|ambitious|a.有雄心的
160|Maine|n.缅因州(美国东北角的州)
161|train|v.训练,培训,瞄准
162|bravely|ad.勇敢地
163|shade-grown|a.避光生长的
164|shale|n.页岩,泥板岩
165|alternatively|ad.做为选择,二者择一地
166|deprecate|v.抨击,反对,轻视
167|masterpiece|n.杰作,名著
168|issue|n./v.问题,分发,颁布,发行
169|epoch|n.新纪元,时代
170|may|aux.可能,也许.n.(May)五月
171|intricate|a.复杂的,难懂的
172|foe|n.敌人,危害物
173|serrate|a.锯齿状的
174|ribbon|n.缎带,丝带.v.撕成条
175|merely|ad.仅仅,只,不过
176|holm|n.(河,湖中的)小岛
177|struggler|n.奋斗者,斗争者
178|ordnance|n.军火
179|trouble|n./v.烦恼,麻烦
180|spontaneous|a.自发的,自然产生的
181|inspire|vt.鼓舞,激起,给…以灵感
182|big|a.大的
183|gentility|n.文雅,出身高贵,有教养
184|synonym|n.同义字
185|Eurasia|n.欧亚大陆
186|invention|n.发明,创造
187|optical|a.视觉的,光学的
188|closet|n.壁橱,储藏室
189|analogous|a.类似的
190|recede|v.后退
191|squarely|ad.方形地,直角地,公平地
192|haste|n.匆忙,急忙
193|diffusely|ad.广泛地,扩散地
194|carton|n.硬纸盒,纸板箱
195|continuous|a.连续的,持续的
196|malleable|a.有延展性的,可锻的
197|great|a.大的,伟大的,好极的,主要的
198|toe|n.趾,脚趾
199|goods|n.货物,商品
200|unexpected|a.想不到的,意外的
201|individual|n.个人,个体.a.个别的
202|craft|n.工艺,手艺,太空船
203|hillbilly|n.山地内部的贫农,乡下人
204|quick|a./ad.快的,迅速的
205|permanent|a.永久的,持久的
206|wrap|vt.包,裹.n.披肩,围巾
207|far|a/ad.远,遥远的
208|floor|n.地面,地板
209|browse|v./n.浏览,放牧
210|victimize|vt.使牺牲,使受害,欺骗
211|irrelevant|a.不相干的,不切题的
212|pork|n.猪肉,
213|negligibly|ad.可忽略不计地,微不足道地,极小地
214|bulldoze|v.威吓,欺负,(用推土机)推平某物
215|secular|a.长期的,世俗的,不朽的
216|sect|n.宗派,教派
217|guncotton|n.[军]强棉药
218|rainer|n.人工降雨装置,喷灌装置
219|fallout|n.辐射微尘,原子尘,附带结果
220|habitat|n.栖息地,住处
221|boy|n.男孩
222|prominent|a.显著的,杰出的,突出的
223|stylish|a.时髦的,漂亮的,流行的
224|incubation|n.孵化,熟虑,潜伏期
225|industrialism|n.产业主义,工业制度
226|allocation|n.分配,安置,配置
227|herself|pron.她自己
228|reputation|n.名誉,名声,声望
229|creep|vi.爬,蹑手蹑脚.n.爬行
230|copper|n.铜,警察
231|troupe|n.剧团
232|toolmaking|n.工具(或刀具)制造,机床维修
233|fight|n./v.战斗,打架,斗争
234|comfort|n./v.安慰
235|patronage|n.赞助,光顾(买东西)
236|implicit|a.暗示的,盲从的,含蓄的
237|swirl|n./v.旋转,漩涡
238|approval|n.赞同,批准,认可
239|chlorate|n.[化]氯酸盐
240|silicon|n.[化]硅
241|stream|n.小河,溪流.v.涌流(出)
242|Switzerland|n.瑞士(欧洲中部国家)
243|wirephoto|n.有线传真
244|act|v.行动,表演,起作用.n.行为,法令
245|pomegranate|n.[植]石榴
246|century|n.百年,世纪
247|domestically|ad.家庭式地,国内地
248|march|n./v.行军.n.三月
249|handle|v.处理,操作
250|demonstrate|vt.示范,证明,论证
251|German|n.德国人.a.德国的
252|summarization|n.摘要,概要
253|mantel|n.壁炉架
254|deal|n.交易.v.处理,分配
255|honey|n.(蜂)蜜,宝贝.a.甜美的
256|cud|n.反刍的食物
257|biotic|a.有关生命的,生物的
258|gnaw|vt.啃,咬
259|addition|n.加,增加,附加物
260|paucity|n.极小量,缺乏,少数
261|supermodel|n.超级名模
262|distrust|n./vt.不信任,怀疑
263|rayon|n.人造丝,人造纤维
264|exogenous|a.外生的,外界产生的
265|well|ad.好的.vi.涌出.n.井
266|bearing|n.举止,风度
267|compose|v.组成,写作
268|beach|n.海滩
269|measure|n.措施,量度,尺寸.v.测量
270|encourage|vt.鼓励,促进,支持
271|suffer|vt.遭受,经历
272|feldspar|n.[矿]长石
273|recreate|v.(使)得到休养,(使)得到娱乐,再创造
274|lapis|n.[化]天青石(化学中的矿物命名)
275|composition|n.成分,作品,合成物,作文,作曲
276|pavlova|n.奶油水果蛋白饼
277|tonal|a.音调的,色调的
278|sensationalism|n.追求轰动效应,感觉论
279|waling|n.横撑
280|multipurpose|a.多种用途的,多目标的
281|lordly|a.高贵的,高傲的
282|graze|v.放牧,掠过,擦伤.n.擦伤(处)
283|microwave|n.微波(波长为1毫米至30厘米的高频电磁波)
284|fireplace|n.壁炉
285|lethargy|n.无生气,昏睡
286|grounding|n.基础训练,染色的底色,[电]接地
287|affirm|v.断言,确认,肯定
288|constitutional|a.法治的,体质的
289|swallow|n./v.吞下,咽下
290|mismatch|n./v.配错,不相匹配
291|gist|n.要点,要旨
292|eastward|a.向东的.ad.向东
293|slumber|n.睡眠.v.睡眠
294|holy|a.神圣的,圣洁的
295|nervous|a.紧张的,不安的
296|interferometer|n.干涉计
297|fishery|n.渔业,水产业
298|ash|n.灰(烬),[植]岑树
299|chondritic|a.球粒状陨石的
300|most-distinctive|a.最有特色的
301|cognition|n.认识,认知
302|televise|v.广播,播映
303|epithet|n.绰号,称号
304|plumb|v.（用铅垂）测量,探测
305|smear|v.涂污,弄脏.n.油迹,涂片
306|arc|n.弧,弓形
307|staff|n.全体职工,全体人员,棒,支撑
308|stride|v.大步走(过),跨过
309|migrant|n.移居者,候鸟
310|uneven|a.不平坦的,不均匀的
311|blowhole|n.喷水孔,通风孔
312|tempt|vt.吸引,诱惑
313|inland|a.内陆的,国内的
314|defeat|vt./n.击败,战败
315|various|a.不同的,多样的,多方面的
316|impersonal|a.客观的,没有人情味的
317|remain|v.剩余,保持
318|carpenter|n.木匠
319|akin|a.同类的,近似的
320|mystique|n.神秘性,奥秘
321|trip|n.旅行,旅游.v.绊倒,犯错
322|rid|vt.使摆脱,使去掉
323|sheer|a./ad.十足的,陡峭的
324|desire|n./vt.渴望,要求
325|central|a.中心的,主要的,重要的
326|lead|v.引导,导致.n.领导,主角
327|paramount|a.极为重要的
328|emigrant|n.移居外国者,移民
329|exhibit|n./v.展览,陈列,展示
330|graduate|n.毕业生.a.研究生的.v.(使)毕业
331|harmonious|a.和谐的,和睦的
332|restlessness|n.辗转不安,烦躁不安
333|perceivable|a.可知觉的,可感知的
334|destruction|n.破坏,毁灭
335|ill-conceived|a.构想拙劣的
336|afford|vt.提供,给予,买得起
337|rumen|n.瘤胃(反刍动物的第一胃)
338|fertility|n.肥沃,多产
339|skeptical|a.怀疑的
340|enclose|vt.放入封套,围绕
341|lamp|n.灯
342|overrun|n.泛滥成灾.v.超过,泛滥
343|magnetic|a.磁的,有吸引力的
344|incomplete|a.不完全的,不完整的
345|trickle|v.滴流
346|impressively|a.令人难忘地,令人印象深刻地
347|oppose|v.反对,对抗
348|whistle|vi.吹口哨,鸣笛.n.哨子
349|postmaster|n.邮局局长
350|Netherland|n.荷兰
351|compute|v.计算,估计,推断
352|oscillate|v.振荡,犹豫
353|brief|n.摘要,大纲.a.简短的
354|seventy|num.七十
355|wren|n.[动]鹪鹩
356|formerly|ad.从前,以前
357|version|n.译文,译本
358|horticulture|n.园艺,园艺学
359|stout|a.发胖的,结实的
360|innocent|a.清白的,无罪的,天真的,无辜的
361|ocher|n.黄土,赭土
362|worship|n./vt.崇拜,爱慕
363|evenness|n.平均,平等,平坦
