ID|word|meaning
1 | pharmacy | n. 药房；配药学，药剂学；制药业；一批备用药品
2 | toilsome | adj. 辛苦的；劳苦的；费力的
3 | efface | v. 抹去，抹掉；使自己不受人注意
4 | plastic | adj. 塑料的；（外科）造型的；可塑的 n. 塑料制品；整形；可塑体
5 | advocacy | n. 主张；拥护；辩护
6 | clutter | n. 杂乱，混乱 v. 使凌乱；胡乱地填满
7 | profession | n. 职业，专业；声明，宣布，表白
8 | parsimonious | adj. 吝啬的；过于节俭的；质量差的
9 | Phosphorus | n. 磷
10 | bravo | n. 喝彩；亡命徒 v. 喝彩 int. 好极了
11 | alkali | n. 碱；可溶性无机盐 adj. 碱性的
12 | augment | v. 增加；增大 n. 增加；增大
13 | quarrelsome | adj. 喜欢吵架的；好争论的
14 | upheave | v. 鼓起；举起；使隆起
15 | unaccountable | adj. 无责任的；莫名其妙的；不可理解的
16 | surmise | v. 猜测；推测 n. 推测；猜度
17 | celebrity | n. 名人；名声
18 | laborious | adj. 勤劳的；艰苦的；费劲的
19 | petulant | adj. 暴躁的；任性的；难以取悦的
20 | volant | adj. 迅速的；会飞的；飞行的 n. (Volant)人名；(法)沃朗
21 | degenerate | v. 使退化；恶化 adj. 退化的；堕落的 n. 堕落的人
22 | chimerical | adj. 空想的，妄想的；荒唐的
23 | slope | n. 斜坡；倾斜；斜率；扛枪姿势 v. 倾斜；逃走
24 | scathe | vt. 损伤；损害 n. 损伤；危害；损害
25 | generation | n. 一代；产生；一代人；生殖
26 | brigade | n. 旅；大部队；队列 v. 把…编成旅；把…编成队
27 | alternate | v. 交替；轮流 adj. 交替的；轮流的 n. 替换物
28 | triennial | adj. 每三年的；连续三年的 n. 三年生植物
29 | impugn | v. 指责，非难；抨击；反驳；对…表示怀疑
30 | altimeter | n. 测高仪，高度计
31 | orthodoxy | n. 正统；正教；正统说法
32 | gasoline | n. 汽油
33 | hindrance | n. 障碍；妨碍；妨害；阻碍物
34 | flaunt | v. 炫耀；飘扬 n. 炫耀；飘扬；招展
