ID|word|meaning
0|sibling|n.兄弟或姊妹
1|guzzle|v.狂饮,暴食,大量消耗
2|sting|n.螫刺
3|odium|n.憎恶,厌恶,不满
4|fake|v.伪造,佯装
5|drawl|v.&n.慢吞吞地说话(态度)
6|paranoia|n.偏执狂,疑惧,多疑
7|voracious|adj.渴求的,贪婪的
8|elicit|v.引出,探出
9|even|adj.平坦的,相等的
10|martial|adj.战争的,军事的
11|hegemony|n.霸权,领导权
12|press|v.坚持,强调,困扰,硬给
13|instrumentalist|n.乐器演奏者
14|pragmatic|adj.实际的,实用主义的
15|gobble|v.贪婪地吃,狼吞虎咽
16|parallelism|n.平行,类似
17|waggish|adj.诙谐的,滑稽的
18|cogitate|v.慎重思考,思索
19|lexical|adj.词汇的,词典的
20|cite|v.引用,引述
21|foreword|n.前言,序
22|repudiate|v.拒绝,抛弃
23|diatribe|n.抨击
24|stowaway|n.(藏于轮船、飞机中的)偷乘者
25|inanimate|adj.无生命的
26|pied|adj.杂色的
27|alluring|adj.吸引人的,迷人的
28|superfluity|n.多余,过剩,冗余
29|recombine|v.重组,再结合
30|nip|v.小口啜饮
31|impenitent|adj.不悔悟的
32|abbreviate|v.缩短,缩写
33|sinuous|adj.蜿蜒的,弯曲的
34|tacit|adj.,默许的,不言而喻的
35|frothy|adj.起泡的,空洞的
36|lounge|n.休息室
37|nonporous|adj.无孔的,不渗透的
38|dimension|n.维度,尺寸,大小
39|embroider|v.刺绣,装饰
40|aggrieve|v.使受委屈,使痛苦,使受伤害
41|leisureliness|n.悠然,从容
42|evasive|adj.回避的,逃避的
43|lure|v.引诱,诱惑
44|illegitimate|adj.不合法的,私生的,非婚生的
45|ethos|n.(个人、团体或民族)道德风貌,思潮...
46|expel|v.排出,开除
47|limited|adj.有限的,(公司)有限责任的
48|smug|adj.自满的,自命不凡的
49|facsimile|n.复制本,摹本
50|plague|v.困扰,使烦恼,纠缠
51|shoulder|n.肩,路肩
52|pigment|n.天然色素,干粉颜料
53|firearm|n.(便携式)枪支
54|greenhorn|n.新手,傻瓜
55|vintner|n.酒商,葡萄酒酿制者
56|vendor|n.小贩
57|nihilism|n.虚无主义
58|resume|v.重新开始,继续
59|conglomerate|v.集聚成团
60|sonorous|adj.(声音)洪亮的
61|latent|adj.潜伏的,潜在的
62|laud|v.称赞,颂扬
63|demur|v.表示异议,反对
64|obloquy|n.辱骂,遭指责,遭诽谤
65|reedy|adj.长满芦苇的,(声音)高而尖的
66|bit|n.钻头
67|lever|v.撬动
68|aboveboard|adj.&adv.光明正大的(地)
69|cosy|adj.温暖而舒适的
70|deficit|n.差额,赤字
71|homily|n.说教,训诫
72|frieze|n.(在墙顶与天花板间起装饰作用的)横...
73|chant|v.歌唱或背诵
74|neonate|n.初生儿
75|renegade|n.叛教者,叛徒
