ID|word|meaning
0|abandon|放纵：constraint,放纵：unrestrainedly,放弃：withdraw,停止做某事：put an end to
1|abase|降低(地位、职位、威望或尊严)：lower
2|abash|使尴尬,使羞愧：self-confidence,embarrass
3|abate|减轻(程度或者强度)：reduce,degree,intensity,减少(数量),降低(价值)：reduce,amount,value
4|abbreviate|v.缩写,缩短：briefer
5|abdicate|v.正式放弃(权力、责任)：throne
6|aberrant|adj.异常的,非常规的：deviating
7|abet|v.帮助,怂恿：assist or support,v.鼓励：encourage
8|abeyance|n.终止,搁置：inactivity
9|abhor|vt.深恶痛绝,极度厌恶：extreme repugnance
10|abiding|永久的：enduring
11|abject|adj.无精打采的：spiritless,adj.(地位、身份)悲惨、凄凉的：low state,adj.卑微的,讨好的：humble
12|abjure|v.发誓放弃：rejecting,abandoning,v.抵制避免：resist
13|abnegate|否认：deny,renounce,投降,放弃,交出(权力等)：surrender,relinquish
14|abominate|憎恶：abhor
15|aboveboard|无欺诈的,光明正大的：free from,deceit or duplicity
16|abrade|磨损,精神上的折磨：wear away, by friction
17|abridge|缩短,缩小：shorten,在不改变本意的条件下删减词语,缩写：shorten
18|abrogate|官方的正式废除：annul,无视(某事的)存在：nonexistent
19|abscond|偷偷离开：depart secretly
20|absolute|专制的：unconstrained, 无限的unqualified, 完美的,纯净不惨杂的：free from imperfection, mixture, 不容置疑的,确凿的：unquestionable
21|absolve|使无罪,解除责任：free from, guilt, exculpate
22|abstain|自我克制,主动戒绝：refrain, by one’s own choice
23|abstemious|(吃喝等)有节制的,节俭的：restraint, food or alcohol, sparing
24|abstract|做总结,概括：abstract, summarize, 使分心：away, attention
25|abstruse|难以理解的：recondite
26|absurd|不合理的：unreasonable
27|abundant|大量的： great plenty
28|abuse|辱骂,抨击：condemn or vilify, 不正当的或不合理使用的：wrong or improper use, 过分过量使用的：use excessively
29|abut|邻接,毗邻：adjacent
30|abysmal|极低的,极可怜的：immeasurably low, (程度)很深的,极端的：immeasurably great
31|accede|赞成：approval, consent, 就任,就职：come into an office
32|accelerate|加速：faster, 使提前发生：earlier, 变大,变多：greater
33|accessible|可以达到的：within easy reach, 可以理解的：understood, 能够获得的：get
