ID|word|meaning
0|apprize|v.通知
1|nut|n.坚果,螺母,螺帽
2|divide|v.分,划分,分开,分配,(by)除
3|prosperity|n.繁荣,兴旺
4|career|n.(个人的)事业,专业,生涯,职业,经历
5|maximum|n.最大量,最大限度
6|disperse|v.使散开,使疏开,使分散
7|limestone|n.石灰石
8|site|n.位置vt.设置
9|avenge|v.报复
10|heighten|v.加高,提高,增大
11|punctual|a.准时的,严守时刻的
12|wagon|n.运货马车,运货车,敞蓬车厢
13|philosophy|n.哲学,哲理,人生观,价值观,世界观
14|queer|a.奇怪的,不平常的,可疑的,眩晕的,不舒服的
15|grief|n.悲伤,悲痛,悲伤的事,悲痛的缘由
16|ascent|n.上升,(地位,声望等的)提高,攀登,上坡路。
17|prejudice|n.偏见,成见,(法律)损害,伤害
18|aristocracy|n.贵族阶层
19|remnant|n.残余,剩余
20|telegraph|n.电报机,电报v.打电报,发电报
21|catching|adj.(接触)传染的,有魅力的,迷人的。
22|town|n.市镇,市民,城市商业区,闹市区
23|break|vt.打破,中止,违反vi.破(裂)n.休息时间
24|unstable|a.不稳固的,不稳定的
25|contemplate|vt.仔细考虑,注视,打算,预计
26|certificate|n.证(明)书,执照
27|curve|n.曲线,v.弄弯,成曲线
28|textual|adj.课文的,正文的
29|pan|n.平底锅,盘子,面板
30|pilgrimage|n.朝圣
31|waterfront|n.水边,滩
32|channel|n.海峡,水道,信道,波道,路线,途径
33|irrespective|a.不考虑的,不顾的
34|bamboo|n.竹
35|prosperous|a.繁荣的,兴旺的,茂盛的,顺利的
36|ago|ad.(常和一般过去时的动词连用)以前,…前
37|outbreak|n.爆发
38|slipper|n.便鞋,拖鞋
39|helpful|a.(to)有帮助的,有益的,有用的
40|rivalry|n.竞争,对抗
41|ditch|n.排水沟,沟渠v.坠入沟中,抛弃
42|quagmire|n.沼泽,湿地。
43|continent|n.大陆,洲,adj.有节制的,节制欲望的
44|recital|n.朗诵,背诵,叙述,独奏会,独唱会。
45|tradesman|n.商人,手艺人
46|swerve|v.突然转向。n.转向。
47|dusty|adj.沾满灰尘的
48|smoke|n.烟,烟尘,吸烟,抽烟v.抽(烟),冒烟,冒气
49|flare|vi./n.熊熊燃烧,突然燃烧,火光,v./n.(衣裙等)张开
50|choose|v.选择,挑选,甘愿
51|handkerchief|n.手帕
52|Leninism|n.列宁主义
53|uprising|n.起义,升起。
54|characteristical|adj.特征的
55|superintend|v.主管,指挥,管理,监督。
56|learning|n.知识,学问,学习
57|vex|vt.使烦恼,使苦恼
58|literacy|n.识字,读写能力
59|veteran|n.老手,老兵
60|connect|vt.连接,与…联系,接通(电话)vi.连接
61|lunch|n.午餐,(美)便餐
62|several|a.几个,若干,数个,各个的,各自的
63|making|n.制造,发展,素质。
64|material|n.材料,原料,资料a.物质的,肉体的,实质性的
65|brightness|n.明亮,辉煌,聪明
66|waste|v.浪费a.无用的,荒芜的n.浪费,废物
67|crumble|v.弄碎,灭亡,消失
68|ninth|num.第九,九分之一
69|entirety|n.全部
70|present|a.出席的,现在的n.现在,礼物v.赠送,提出
71|vest|n.背心,马甲,汗衫,内衣
72|revival|n.复苏,再生
73|pasture|n./v.牧场,放牧
74|application|n.申请,请求,申请书,应用,实施,实用性
75|crystal|n.水晶,水晶饰品,质量最好的玻璃器皿,结晶体
76|fast|a.快的,迅速的,坚固的ad.紧紧地,迅速地
77|pick|v.拾,采,摘,挑选,选择n.镐,鹤嘴锄
78|distress|n./vt.悲痛,忧伤,贫苦,危难
79|gratify|v.使满足,使高兴
80|poll|n.民意测验,(pl.)政治选举v.获得…选票
81|soda|n.苏打,汽水
82|robbery|n.抢劫,劫掠,盗取
83|equivalence|n.相等,等值
84|rehearse|v.排练
85|leather|n.皮革,皮革制品
86|expressly|adj.明确表示的
87|tentacle|n.(动物)触须、触角,(植物)腺毛。
88|uncertainty|n.不定,易变
89|glycerin|n.甘油,丙三醇。
90|board|n./v.长木板,有专门用途的木板,理事会,伙食,登(车、船、机等),提供膳食
91|son|n.儿子,孩子(长者对年青或年幼男子的称呼)
92|click|v.发出滴答声。n.滴答声。
93|cartridge|n.弹药筒,子弹,软片
94|rake|n.耙子,耙机v.耙,搜索,探索
95|coral|n.珊瑚,珊瑚虫。
96|elapse|vi.(时间)流逝
97|lawful|adj.合法的,法律的
98|grove|n.林子,小树林,园林
99|November|n.十一月
100|appraise|v.评价。
101|oral|a.口头的
102|partake|vt.分担,共享。vi.共享,参与,带有。
103|comprise|vt.包含,包括
104|soar|vi.剧增,高飞,高涨,屹立
105|household|n.家庭,家人a.家庭(务)的,家常的
106|advertisement|n.广告,公告,登广告
107|hydrogen|n.氢气
108|beginner|n.初学者,生手
109|trap|n.陷阱,圈套,双轮轻便马车
110|ultimatum|n.最后通谍。
111|cashier|n.出纳员
112|barometer|n.气压计,晴雨表
113|billion|num./n.(美)十亿,(英)万亿
114|sword|n.剑,刀,武力
115|negation|n.否定,否认
116|metropolitan|a.首都的,主要都市的,大城市
117|discover|v.发现,显示
118|distortion|n.弄歪,歪曲,畸变
119|recommend|v.推荐,介绍,劝告,建议
120|closed|adj.关闭的,停业的
121|excavate|v.挖掘,开凿,挖出,挖空。
122|aimless|adj.无目的的
123|optimum|a.最适宜的
124|rotate|v.旋转,轮流
125|undertaking|n.任务,事业,许诺
126|malaise|n.不舒服
127|attentive|a.注意的,有礼貌的
128|outskirts|n.(尤指城市)郊区
129|production|n.生产,产品,作品,(研究)成果,总产量
130|horn|n.(牛羊等的)角,号,喇叭,角状物,角制品
131|its|pron.它的
132|baggy|adj.袋状的
133|oceanography|n.海洋学
134|dine|v.吃饭,进餐
135|growth|n.生长,增长,发展
136|jump|v./n.跳跃,跳动,跳过,暴涨,猛增
137|verdict|n.[律](陪审团的)裁决,判决,判断,定论,结论。
138|synopsis|n.大纲。
139|canvas|n.粗帆布,油画布
140|suppress|vt.镇压,禁止发表,抑制(感情等),阻止…的生长
141|club|n.俱乐部,夜总会,社团,棍棒,球棒
142|lighten|vt.照亮,使明亮
143|cow|n.母牛,奶牛
144|defendant|n.被告。adj.辩护的,为自己辩护的。
145|solvent|a.能偿还的,溶解的,n.溶剂,偿付能力
146|floor|n.地板,(楼房)的层
147|mask|n.面具,口罩,vt.遮蔽,伪装
148|aspire|vi.热望,立志。
149|chronological|adj.按年代顺序排列的。
150|hang|v.悬挂,垂吊,吊死,绞死
151|bushel|n.蒲式耳(容量单位)
152|humble|a.谦卑的,恭顺的,地位低下的,简陋的,vt.使卑下,贬抑
153|upstairs|ad.向楼上,在楼上,上楼ad.楼上的
154|celebrate|vt.庆祝,颂扬,赞美vi.庆祝,过节
155|iron|n.铁,铁制品,烙铁,熨斗v.熨(衣),熨平
156|rust|n./v.锈,生锈,荒废
